tracking_id	shCtrl-1_0	shCtrl-2_0	shU-1_0	shU-2_0
ENSMUSG00000001985.8	0	0.00445014	0	0
ENSMUSG00000001986.9	0.879383	0.811602	1.2505	1.85375
ENSMUSG00000001988.8	0.412178	0.51451	0.489193	0.393239
ENSMUSG00000001995.7	0	0	0	0
ENSMUSG00000001998.8	5.91525	6.61018	5.10755	6.44591
ENSMUSG00000001999.9	23.6283	24.3602	21.5364	21.0173
ENSMUSG00000002006.6	5.20289	5.04461	5.08326	4.25403
ENSMUSG00000002007.5	0.425038	1.01203	1.44976	0.758102
ENSMUSG00000002010.10	57.5693	56.1995	73.6773	73.7749
ENSMUSG00000002012.7	0	0	0	0
ENSMUSG00000002014.6	138.425	145.763	238.168	203.388
ENSMUSG00000002015.5	213.8	198.854	243.738	210.915
ENSMUSG00000002017.9	16.7839	14.4385	19.4298	22.5394
ENSMUSG00000002020.8	0.127087	0.573324	0.0224238	0.0599735
ENSMUSG00000002028.6	3.17359	3.48168	3.73348	5.25397
ENSMUSG00000002031.4	41.6991	41.8789	63.4458	62.6116
ENSMUSG00000002032.9	2.0561	2.45564	0.793484	0.983807
ENSMUSG00000002033.7	0.0369214	0	0	0
ENSMUSG00000002043.10	126.518	128.925	52.5252	52.7387
ENSMUSG00000002052.6	25.4512	25.8685	34.0824	35.4762
ENSMUSG00000002055.3	4.85789	4.4205	1.79462	1.93607
ENSMUSG00000002057.4	0.0594481	0.0221114	0.117289	0.186552
ENSMUSG00000002058.7	4.66034	5.26084	5.41391	5.05013
ENSMUSG00000002059.11	60.3969	60.524	103.083	96.3776
ENSMUSG00000002064.9	102.06	102.122	100.281	86.7887
ENSMUSG00000002068.10	2.70304	2.4921	1.32551	1.20126
ENSMUSG00000002076.5	2.92959	3.70221	3.27477	3.67936
ENSMUSG00000002083.6	21.0425	19.3638	57.7578	61.3343
ENSMUSG00000002100.8	0.0227229	0.0168799	0.0268751	0.026704
ENSMUSG00000002102.9	137.961	119.25	109.75	91.2056
ENSMUSG00000002103.8	12.583	10.6982	11.4721	10.0137
ENSMUSG00000002104.5	1.56192	1.13493	0.249382	0.203025
ENSMUSG00000002105.8	17.2695	17.3895	8.81303	10.4607
ENSMUSG00000002107.9	29.0129	30.3397	25.8613	29.9598
ENSMUSG00000002108.4	28.4846	27.9593	13.4335	10.9497
ENSMUSG00000002109.7	10.1273	10.6733	6.64891	6.8299
ENSMUSG00000002111.8	0.0490529	0.0183035	0	0.0193199
ENSMUSG00000002129.5	19.2006	19.8851	16.7965	19.2971
ENSMUSG00000002147.11	35.0744	33.9417	47.6307	44.7526
ENSMUSG00000002190.7	0	0.00898197	0	0
ENSMUSG00000002204.8	10.1795	11.5089	6.71889	6.3403
ENSMUSG00000002205.9	17.6063	18.461	35.5342	33.7831
ENSMUSG00000002210.5	9.79595	11.5695	6.64877	7.7817
ENSMUSG00000002221.7	5.3538	5.99697	6.28377	6.85469
ENSMUSG00000002222.8	37.3196	40.17	38.8339	37.4161
ENSMUSG00000002227.8	6.48535	7.25689	5.55708	6.78044
ENSMUSG00000002228.6	0	0.0221564	0.0234913	0
